,aic,waic,samples,warmup
0,-392.563540785591,-107.69922984351695,47.0,500
1,-393.97524626280045,-92.84735777478937,94.0,500
2,-393.31023984809565,-112.4181025923416,142.0,500
3,-393.34494026802537,-128.0746802855964,189.0,500
4,-393.6457095260793,-119.34788184721094,237.0,500
5,-393.3180060649226,-149.43066083851994,284.0,500
6,-393.3452727961732,-133.53078832879794,332.0,500
7,-393.2211414699237,-136.76808460011807,379.0,500
8,-393.2428858103083,-132.24617485011765,427.0,500
9,-393.31930251006116,-136.07885566920822,474.0,500
10,-393.41176104843703,-119.49108593385881,522.0,500
11,-393.3339117388498,-120.11049553229577,569.0,500
12,-393.4342029277218,-120.60062195753369,617.0,500
13,-393.5329525712061,-118.73711758675387,664.0,500
14,-393.4618560511798,-118.25309685039167,712.0,500
15,-393.5042593958489,-109.03885478622277,759.0,500
16,-393.40232492841545,-112.92563786507941,807.0,500
17,-393.4888526264165,-109.34104024834573,854.0,500
18,-393.5079830256793,-108.5632922080523,902.0,500
19,-393.6852468263264,-101.00304833699937,949.0,500
20,-393.5081193737427,-96.53900878333792,997.0,500
21,-393.49812833906475,-92.06892176183277,1044.0,500
22,-393.4632425004876,-88.88414883578167,1092.0,500
23,-393.4522795111427,-89.42634881367053,1139.0,500
24,-393.60071979778627,-84.64357509517879,1187.0,500
25,-393.6853932780476,-87.79872325662132,1234.0,500
26,-393.74853418883976,-81.91632572982252,1282.0,500
27,-393.7612054633441,-84.97769797905067,1329.0,500
28,-393.69840258600294,-91.25125363521306,1377.0,500
29,-393.710456622077,-90.05009777268401,1424.0,500
30,-393.70115318326566,-84.28362513548734,1472.0,500
31,-393.7393534945155,-83.41894291059754,1519.0,500
32,-393.80916199554764,-79.94168522732116,1567.0,500
33,-393.84355387348506,-75.35208607017296,1614.0,500
34,-393.8265986874503,-74.66637266059848,1662.0,500
35,-393.8382031986965,-74.97837208648895,1709.0,500
36,-394.14807891088753,-62.422037373862,1757.0,500
37,-394.21078695469333,-54.88478525436847,1804.0,500
38,-394.2419474268768,-49.91748073900101,1852.0,500
39,-394.2138699029821,-52.92955882308718,1899.0,500
40,-394.1363818616624,-55.58153569709009,1947.0,500
41,-394.1208797853243,-54.432053616245696,1994.0,500
42,-394.1371288157485,-52.62033315618305,2042.0,500
43,-394.1369480855154,-47.27012741325382,2089.0,500
44,-394.1421039867243,-46.15957823049507,2137.0,500
45,-394.16025547480433,-46.064153054401686,2184.0,500
46,-394.1598442848484,-45.36615777465403,2232.0,500
47,-394.1485590546005,-44.856222522107146,2279.0,500
48,-394.15015010452277,-44.03956421798745,2327.0,500
49,-394.153953398343,-43.4545822881949,2374.0,500
50,-394.095663282802,-42.80968910570948,2422.0,500
51,-394.05024436091327,-44.459905005481005,2469.0,500
52,-394.06611990881555,-46.1385465470824,2517.0,500
53,-394.05784784069726,-40.852521022735914,2564.0,500
54,-394.03793824418335,-44.0683080842328,2612.0,500
55,-394.01832703353335,-45.0260589372304,2659.0,500
56,-394.00272733297385,-44.93349740088661,2707.0,500
57,-394.00745096729867,-38.47617931107533,2754.0,500
58,-393.97929232280217,-36.97849754977892,2802.0,500
59,-393.97473558020295,-39.08754298245657,2849.0,500
60,-393.99321949583765,-39.714455087575686,2897.0,500
61,-394.00802165419344,-40.050264539920306,2944.0,500
62,-394.0209898905613,-42.2420730621011,2992.0,500
63,-394.03387763317903,-44.267743880099374,3039.0,500
64,-394.0551416101489,-41.49088794357294,3087.0,500
65,-394.0495430024956,-41.54961403757977,3134.0,500
66,-394.0266710190672,-42.75650891766003,3182.0,500
67,-394.03874373065537,-43.60292575335802,3229.0,500
68,-394.0157449476429,-41.245667857015064,3277.0,500
69,-394.00141459664735,-42.43827314596223,3324.0,500
70,-394.00139683815576,-40.75624684467107,3372.0,500
71,-393.9874400531059,-42.930326715379636,3419.0,500
72,-393.9646221075598,-44.641670247864624,3467.0,500
73,-393.9467397560845,-46.57116083995601,3514.0,500
74,-393.9476923642527,-46.99824860406483,3562.0,500
75,-393.9613581757795,-43.69937192582171,3609.0,500
76,-393.93895201666464,-45.12625343272401,3657.0,500
77,-393.9270485663552,-46.07347502238781,3704.0,500
78,-393.93166227190557,-46.98969107241919,3752.0,500
79,-393.9628519289462,-45.08796396120971,3799.0,500
80,-393.9565355495751,-44.96418322972778,3847.0,500
81,-393.934039105016,-44.86556809194519,3894.0,500
